池袋,S0100IK
椎名町,S0101SC
東長崎,S0102HI
江古田,S0103EK
桜台,S0104SD
練馬,S0105NE
中村橋,S0106NM
富士見台,S0107HU
練馬高野台,S0110HZ
石神井公園,S0115SJ
大泉学園,S0116OE
保谷,S0120HO
ひばりヶ丘,S0121HB
東久留米,S0122HR
清瀬,S0130KI
秋津,S0131AK
西所沢,S0145NT
小手指,S0150KS
狭山ヶ丘,S0151SG
武蔵藤沢,S0152MH
稲荷山公園,S0153IN
入間市,S0154IM
仏子,S0155BU
元加治,S0156MJ
飯能,S0160HA
東飯能,S0161HH
武蔵丘,S0165MU
高麗,S0166CK
武蔵横手,S0167CM
東吾野,S0168CH
吾野,S0170CA
西吾野,S0175CN
正丸,S0176CS
芦ヶ久保,S0178CB
横瀬,S0179CY
西武秩父,S0180CC
豊島園,S0200TO
下山口,S0210SI
西武球場前,S0215SK
小竹向原,S0315KT
新桜台,S0320SR
所沢,S0440TZ
西武新宿,S1400SS
高田馬場,S1401TB
下落合,S1402SO
中井,S1403NA
新井薬師前,S1404AR
沼袋,S1405NU
野方,S1406NO
都立家政,S1407TK
鷺ノ宮,S1408SA
下井草,S1409SM
井荻,S1410IG
上井草,S1411KM
上石神井,S1420KA
武蔵関,S1421MK
東伏見,S1422HF
西武柳沢,S1423SY
田無,S1425TN
花小金井,S1426HK
小平,S1430KO
久米川,S1431KU
東村山,S1435HM
航空公園,S1441KK
新所沢,S1445ST
南入曽,S1450MI
入曽,S1451IR
狭山市,S1455SH
新狭山,S1456SN
南大塚,S1457MO
本川越,S1460HE
西武園,S1500SB
国分寺,S1510TJ
一橋学園,S1512GA
青梅街道,S1513AO
萩山,S1515HG
八坂,S1516YA
武蔵大和,S1518MT
多摩湖,S1520YU
恋ヶ窪,S1532KG
鷹の台,S1533TD
小川,S1534OG
東大和市,S1540HY
玉川上水,S1545TA
武蔵砂川,S1546MS
西武立川,S1547SE
拝島,S1550HJ
西武園ゆうえんち,S1807QY
武蔵境,S2801XM
新小金井,S2802XS
多磨,S2803XT
白糸台,S2804XI
競艇場前,S2805XK
是政,S2806XR
新木場,S5300SV
豊洲,S5301TY
元住吉,S6331MY
菊名,S6333KN
武蔵小杉,S6345OS
元町・中華街,S7340MC
長瀞,S8252NR
三峰口,S8256MM
三峰口・長瀞,S8272MMNR
